Name,Address,Latitude,Longitude
Albany,"Shop 1, 69 Lockyer Ave ",-35.018596,117.883642
Alderley,"Shop 2, 30 South Pine Rd ",-27.424353,153.000255
Armadale,Shop 11 Haynes Shop Centre Cnr Armadale & Eight Rd's ,-32.147416,115.984371
Ashgrove,"Shop 2, 214 Waterworks Rd ",-27.4455,152.994
Ashmore,149 Cotlew St ,-27.986087,153.383716
Aspley,"Shop 10, 1370 Gympie Rd ",-27.36263,153.016176
Auburn,115 Auburn Rd ,-33.854,151.032
Baldivis,"Shop 19 Stockland Shopping Centre, 20 Settlers Ave ",-32.334056,115.814656
Balga,"Shop 10A Fieldgate Square, 25 Culloton Cres ",-31.848747,115.825105
Balgowlah,312 Sydney Rd ,-33.79449,151.2659
Ballarat Dine In,31 Victoria St ,-37.5624,143.866
Bankstown,242 Chapel Rd Sth ,-33.9212,151.031
Bassendean,Cnr West & Guildford Roads ,-31.903149,115.954184
Bateau Bay,161 Cresthaven Ave ,-33.385838,151.462369
Bathurst,"Shop 1, 52 Durham St ",-33.415679,149.58281
Baulkham Hills,22A Old Northern Rd ,-33.7602714,150.9925934
Beenleigh,116 George St ,-27.715919,153.20265
Beerwah,4/70 Simpson Rd ,-26.858747,152.957814
Belfield,26A Burwood Rd ,-33.9033,151.084
Bell Post Hill,"Shop 23, 290 Anakie Rd ",-38.0901,144.336
Bellbowrie,37 Birkin Rd ,-27.5623,152.888
Belmont Village,"Shop 13B, 65 High St ",-38.1707,144.347
Belmont WA,Unit 1A Cnr Belmont Av & Fulham St ,-31.966954,115.934592
Bendigo Dine In,Cnr High St & Violet St ,-36.7646,144.269
Bentleigh East,697 Centre Rd ,-37.9205,145.054
Bentley Park,"Shop 12b, 96 Mclaughlin Rd ",-17.005565,145.741759
Beverly Hills,322 King Georges Rd ,-33.9403,151.076
Birkdale,"Shop 10, 180 Birkdale Rd ",-27.492612,153.21729
Blacktown,88 Reservoir Rd ,-33.7794689,150.9012408
Blackwater,"Shop 9, 5 Rufus St ",-23.583404,148.880479
Bonnyrigg,"Shop 3 Rigg Plaza, 5 Rigg Pl ",-33.8934,150.8913
Boonooroo Park,"Shop 10, Cnr Nielsens Rd & Coelia Crt ",-28.016169,153.351631
Booval,47 South Station Rd ,-27.613762,152.788872
Bowen,21 Herbert St ,-20.014848,148.247757
Brassall,"Shop 38B, 68 Hunter St ",-27.598057,152.745948
Browns Plains Restaurant,"Grand Plaza Shopping Centre, 1-25 Browns Plains Rd ",-27.660306,153.038864
Browns Plains Westpoint,"Shop 31, 8-24 Browns Plains Rd ",-27.659755,153.03968
Bundaberg,224 Bourbong Rd ,-24.8676,152.344
Bundoora,"Shop 9 Bld H, Polaris Town Centre, Copernicus Crt ",-37.713316,145.045696
Burleigh Waters,"Shop 6, 1 Santa Maria Pl ",-28.0767,153.423
Burnie,"Unit 3, 38 Bass Hwy ",-41.04172,145.877417
Byford,Shop 2 Byford Centre 837 South Western Hwy,-32.218966,116.008485
Cairns,"Shop 3, 213 Sheridan St ",-16.91343,145.76466
Cambridge Gardens,2-6 Star Ct ,-33.740958,150.716889
Camden,"Shop 1, 166-172 Argyle St ",-34.0552,150.694
Camp Hill,"Unit 1, 412 Old Cleveland Rd ",-27.492005,153.063886
Campbellfield,"Shop 12, 1434 Hume Hwy ",-37.688674,144.959477
Campbelltown,174 Queen St ,-34.066637,150.814454
Canley Vale,"Shop 1, 17 Canley Vale Rd ",-33.887,150.943
Cannon Hill,"Shop 8, 936 Wynnum Rd ",-27.468221,153.089375
Capalaba,"Shop 2, 131 Old Cleveland Rd ",-27.5207,153.194
Carina,"Shop 2, 1396 Creek Rd ",-27.493493,153.101278
Caringbah,277-281 The Kingsway ,-34.043221,151.124783
Carlingford,322 Pennant Hills Rd ,-33.7831,151.047
Caroline Springs,"Shop 13 North Lake Shopping Centre, 106 Gourlay Rd ",-37.710298,144.740367
Carrum Downs,"Shop 4 Carrum Downs Shop Centre, 100 Hall Rd ",-38.101732,145.184294
Castle Hill,27 Victoria Ave ,-33.7266,150.978
Cessnock,"Shop 2, 10 Allandale Rd ",-32.830623,151.355955
Chancellor Park,"Shop 11, 1-19 Chancellor Village Bvd ",-26.718717,153.049554
Charters Towers,Church St ,-20.076181,146.261862
Chester Hill,185-187 Priam St ,-33.8828,151.002
Chullora,"Shop 7, 355-357 Waterloo Rd ",-33.892986,151.061078
Clarkson,"Shop 4, 1868 Marmion Ave ",-31.690627,115.715624
Cleveland,197-203 Bloomfield St ,-27.5322,153.267
Clontarf,"Shop 15, 9 Elizabeth Ave ",-27.260767,153.079437
Coffs Harbour,"Shop 3 The Bailey Centre, 150-156 Pacific Hwy ",-30.290691,153.119252
Collaroy,"Shop C, 996 Pittwater Rd ",-33.738784,151.302873
Collingwood,27 Victoria Pde ,-37.8088,144.983
Coopers Plains,"Shop 4, 19 Kessles Rd ",-27.557705,153.041954
Cranbourne,65 High St ,-38.111278,145.28286
Currimundi,Shop 2 Currimundi Markets 754 Nicklin Way,-26.772618,153.12343
Dandenong,"Shop 12, 30 Langhorne St ",-37.988147,145.216556
Dapto,"Shop 2, 32 Princes Hwy ",-34.49183,150.795824
Darra,"Shop 7, 166 Monier Rd ",-27.55878,152.950982
Deception Bay,378 Deception Bay Rd ,-27.190503,153.018795
Deer Park,"Shop 11, 837A Ballarat Rd ",-37.769975,144.771534
Deeragun,"Shop 3, 2-10 Deeragun Rd ",-19.248805,146.681123
Dickson,"Shop 70, 2 Cape St ",-35.2512,149.135
Docklands,"Shop 12, 57 Batmans Hill Dr ",-37.819751,144.948458
Doonside,"Shop 16 Woodcroft Plaza, Woodcroft Dr ",-33.7637458,150.8709148
Dubbo,"Shop 3, 14 Cobra St ",-32.2531,148.601
Earlwood,3 Clarke St ,-33.9264,151.125
East Doncaster,"Shop 5, 17-31 Blackburn Rd ",-37.7996,145.16
East Maitland,99 Lawes St ,-32.750698,151.589397
Eastwood,79 Balaclava Rd ,-33.784144,151.094086
Edgeworth,"Town Hall Shopping Centre, 720 Main Rd ",-32.92392,151.622218
Ellenbrook,"Shop 6, Aveley Central, 1549 Gnangara Rd ",-31.795192,115.980551
Emerald,63 Hospital Rd ,-23.516812,148.156069
Emerton,"Shop 2, 127-129 Popondetta Rd ",-33.745143,150.810243
Erindale,"Shop 2, 38 Gartside St ",-35.4056,149.1
Everton Park,Shop 24 Northwest Plaza 97 Flockton St,-27.394172,152.997161
Fairfield Heights,259 The Boulevarde ,-33.8626,150.939
Fairfield Waters,12 Village Dr ,-19.308129,146.806106
Fairy Meadow,"Shop 7, 222 Princes Hwy ",-34.403226,150.892152
Fernvale,1456 Brisbane Valley Hwy ,-27.456612,152.654533
Flemington,103 Mt. Alexander Rd ,-37.7837,144.936
Footscray,"Shop 3, 203 Ballarat Rd ",-37.791,144.889
Forest Lake,251 Forest Lake Blvd ,-27.625487,152.969947
Frankston,"Shop 8 Bayside Entertainment Centre, 21 Wells St ",-38.143744,145.123973
Frenchs Forest,"Shop 2, 55 Sorlie Rd ",-33.745382,151.215688
Fulham Gardens,447 Tapleys Hill Rd ,-34.9137,138.513
Gawler,29 Adelaide Rd ,-34.6064,138.745
Geraldton,57/95 Durlacher St ,-28.775867,114.614905
Gladstone,"Shop 53, 71-77 Dawson Hwy ",-23.855978,151.248719
Glenorchy,12 Eady St ,-42.8344,147.278
Glenwood Park,"Shop 6, 60 Glenwood Park Dr ",-33.7358,150.927
Golden Point,507 Main Rd ,-37.5757,143.869
Goodna,"St Ives Shopping Centre, Smiths Rd ",-27.6098,152.899
Gordon,766 Pacific Hwy ,-33.7562,151.153
Greenfield Park,"Shop 12, 210 Mimosa Rd ",-33.8721,150.89
Griffith,450 Banna Ave ,-34.28759,146.041093
Guildford,283 Woodville Rd ,-33.848199,150.997999
Gungahlin,4/26 Ernest Cavanagh St ,-35.183902,149.131269
Gympie Dine In,112 Bruce Hwy ,-26.1993,152.666
Halls Head,"Shop 5, 14 Guava Wy ",-32.549012,115.700586
Harvest Lakes,"Shop T14 Harvest Lakes Shopping Centre, 89 Lyon Rd ",-32.1532235,115.860979
Hawthorn,654B Glenferrie Rd ,-37.8218,145.036
Helensvale," 9 Sir John Overall Dr",-27.92236,153.335855
Hervey Bay,"Shop 2, 161 Boat Harbour Dr ",-25.288085,152.836733
Holland Park,1230 Logan Rd ,-27.5301,153.073
Hollywood Plaza,"Shop 101 Hollywood Plaza, Hollywood Blvd ",-34.7659,138.626
Hornsby,"Shop 2, 86 George St ",-33.701801,151.099852
Howrah,225 Clarence St ,-42.8789,147.401
Ingleburn,49 Carlisle St ,-33.9991,150.863
Innaloo,387 Scarborough Beach Rd ,-31.902408,115.797518
Jesmond,18 Blue Gum Rd ,-32.903605,151.690571
Jimboomba,"Shop10, 677 Cusack Lane ",-27.83049,153.027338
Joondalup,"Shop 1, 45 Candlewood Blvd ",-31.7294,115.764
Kawana Waters,"Shop 5, 5 Lutana St ",-26.705414,153.130842
Kenmore,"Shop 59 Kenmore Village, Moggill Rd ",-27.506639,152.938461
Keperra,"Shop L10 Great Western Super Centre, Old Settlement Rd ",-27.415006,152.949184
Kings Meadows,142 Hobart Rd ,-41.469502,147.161216
Kingston,"Shop 1, 13 Kennedy St ",-35.316068,149.14023
Kippax,"Block 2 Section 52 Kippax Centre, 102 Hardwick Cr ",-35.223,149.02
Kirra Restaurant,15 Marine Parade ,-28.1674448,153.5319746
Kirwan,"Shop1, 109 Thuringowa Dr ",-19.303466,146.735078
Knox,"Shop 46, 450 Burwood Hwy ",-37.870449,145.238957
Kogarah,45 Regent St ,-33.9619,151.135
Kwinana,"Kwinana Marketplace, 4 Chisham Ave ",-32.244122,115.814839
Kyogle,72 Summerland Way ,-28.620202,153.003848
Lake Haven Dine In,"Lake Haven Shopping Centre, Goobarabah Ave ",-33.243077,151.504817
Lilyfield,"Shop 2-3, 331 Balmain Rd ",-33.871287,151.16107
Lithgow,132 Main St ,-33.481366,150.155964
Liverpool,"Shop 1, 52 Memorial Ave ",-33.9246,150.921
Loganholme,"Shop 31A, 37-59 Bryants Rd ",-27.663239,153.177006
Lurnea,172 Hoxton Park Rd ,-33.9264,150.899
Mango Hill,"Shop 2, 2 Halpine Dr ",-27.242111,153.024943
Mareeba,95 Byrnes St ,-16.991855,145.422388
Marion Dine In,489 Morphett Rd ,-35.017565,138.541223
Maroochydore,"Shop 2A, 69 Maud St ",-26.662887,153.092941
Maroubra,979 Anzac Pde ,-33.9504,151.241
Marrickville,232 Marrickville Rd ,-33.911561,151.158593
Marsden,"Shop 2, 42 Bourke St ",-27.680647,153.116723
Marsden Park,9 Hollinsworth Rd ,-33.719822,150.840886
Mascot,938 Botany Rd ,-33.9302,151.194
Mawson,"Southland Shopping Centre, 47 Heard St ",-35.365295,149.095139
Meadow Springs,7 Broadstone Vista ,-32.482648,115.756887
Melton,37 Bakery Square ,-37.6839,144.585
Menai,"Shop 8, 778-786 Old Illawarra Rd ",-34.0182,151.01
Merrylands,9-11 Sherwood Rd ,-33.8334,150.969
Mile End,195 South Rd ,-34.9266,138.57
Mill Park,"Shop 44 The Stables Shopping Centre, Childs Rd ",-37.6674,145.059
Minto,7 Pembroke Rd ,-34.0293,150.848
Miranda,"Shop 1A, 94 Karimbla Rd ",-34.0371,151.102
Moorebank,271-273 Newbridge Rd ,-33.929,150.949
Moorooka,Cnr Currey Dr & Fegen Dr ,-27.54,153.023
Morayfield,"Morayfield Convenience Centre, 111 William Berry Dr ",-27.1006132,152.9490695
Mortdale,50 Morts Rd ,-33.9694,151.079
Mount Barker,5 Morphett St ,-35.066079,138.856932
Mount Pleasant,"Shop 2a, 6 Discovery Lane ",-21.12824,149.164903
Mowbray,252 Invermay Rd ,-41.4068,147.134
Mt Druitt,"Shop 3A, 13 Mount St ",-33.766144,150.824724
Mt Hutton,"Shop 1, 56 Wilsons Rd ",-32.9793464,151.6944034
Mt Isa,17-19 Simpson St ,-20.7266,139.494
Mt Waverley,313 Stephensons Rd ,-37.8778,145.129
Munno Para,"Shop 2 Munno Para Shopping Centre, Munno Para ",-34.6893,138.687
Murray Bridge,"Shop 2, 32 Adelaide Rd ",-35.121328,139.271179
Nambucca Heads,"Shop 5A Nambucca Plaza, 10 Pacific Hwy ",-30.654347,152.988218
Narangba,212-226 Young Rd ,-27.172931,152.937437
Narellan,Shop 21B Camden Valley Way ,-34.0431,150.736
Narre Warren,5-7 Webb St ,-38.0262,145.304
New Farm,"Shop 4, 660 Brunswick St ",-27.4635,153.041
New Town Dine In,74 Forster St ,-42.8558,147.303
Newcomb,"Shop1, 163 Bellarine Hwy ",-38.173749,144.403913
Newport,331 Barrenjoey Rd ,-33.655409,151.319148
Noosa,"Shop 1, 3 Sunshine Beach Rd ",-26.396223,153.089775
North Balwyn,249c Belmore Rd ,-37.8035,145.083
North Strathfield,175 Concord Rd ,-33.8577,151.092
North Sydney,"MLC Building Shop 23/105 Miller Street, cnr Denison & Spring St ",-33.8387,151.207
Northpark,Shop 40 Northpark Shopping Centre 254 Main North Rd,-34.876406,138.601821
Nowra,"Shop 1, 78 Kinghorne St ",-34.875422,150.60298
Nundah,88 Buckland Rd ,-27.403618,153.061057
Oakey,92 Campbell St ,-27.432826,151.721071
Oakleigh,244 Huntingdale Rd ,-37.905434,145.104816
Orange Dine In,33 Bathurst Rd ,-33.2865,149.108
Ormeau,"Shop 1, 180 Pascoe Rd ",-27.763284,153.245391
Palmerston,15 Temple Tce ,-12.483328,130.985921
Palmwoods,2 Margaret St ,-26.685699,152.959191
Para Vista,Para Vista Shopping Centre ,-34.8203,138.661
Parkdale,175 Como Pd East ,-37.993159,145.076908
Parkmore,"Shop Z6 Parkmore Shopping Centre, Cheltenham Rd ",-38.0031145,145.1673926
Parramatta,441 Church St ,-33.8046,151.006
Patterson Lakes,29A Thompsons Rd ,-38.0692,145.142
Penrith,241 Mulgoa Rd ,-33.767953,150.67641
Perth,"Shop 2, 101 Murray St ",-31.953994,115.862076
PH Test Lab 4901,20 Henrietta St (Test Store) ,-17.668085,141.073861
PH Test Lab 4903,3 Bate St ,-36.313167,150.075504
PH Test Lab 4905,4 Hughes Street ,-30.537341,145.116003
Pittsworth,2 Yandilla St ,-27.71705,151.630934
Plainland,"Shop H, 4424 Warrego Hwy ",-27.56423,152.422707
Plympton,353 Anzac Hwy ,-34.968287,138.547608
Point Cook,Shop 30A Sanctuary Lakes Shopping Centre 300 Point Cook Rd,-37.89517,144.753889
Port Augusta,23 Victoria Pde ,-32.496726,137.773653
Potts Point,"Shop TG15 Kings Cross Centre, 82-94 Darlinghurst Rd ",-33.875257,151.222122
Prahran,567 High St ,-37.8537,145.007
Putney,86A Charles St ,-33.8233,151.109
Queanbeyan,218 Crawford St ,-35.352273,149.233783
Randwick,129 Botany St ,-33.9204,151.236
Redbank Plains,Shop 54 Town Square 357 Redbank Plains Rd,-27.645455,152.871543
Reservoir,317 Spring St ,-37.7155,145.007
Revesby,"Shop 15 Palm Court, 23 Selems Pde ",-33.9513,151.016
Ringwood,79 Bedford Rd ,-37.81862,145.243288
Riverwood,225 Belmore Rd ,-33.9539,151.052
Robina,"Shop 2, 510 Christine Ave ",-28.084816,153.391575
Rosemeadow,"Shop 16 Rosemeadow Shopping Centre, Fitzgibbon Lane ",-34.1026,150.798
Rosewood,30 John St ,-27.640656,152.592726
Rouse Hill,"Shop 2, 26 Adelphi St ",-33.68168,150.91662
Roxburgh Park,Cnr Somerton Cnr David Munroe Dr ,-37.639084,144.932485
Runaway Bay," 390 Oxley Dr",-27.912627,153.38814
Russell Lea,294 Lyons Rd ,-33.859502,151.142156
Rutherford,"Shop T15 Rutherford Market Place, Hillview St ",-32.715127,151.527337
Salisbury,"Shop 2, 34 Park Tce ",-34.764027,138.6451
Semaphore,114 Semaphore Rd ,-34.839882,138.487823
Seven Hills,53 Boomerang Pl ,-33.7748,150.936
Shellharbour,15 College Ave ,-34.567123,150.836191
Shepparton Dine In,525-535 Wyndham St ,-36.3906,145.397
Singleton,"Shop 2, 2-10 Maitland Rd ",-32.569088,151.1802
South Lake,"Shop 20-22 The Lakes Shopping Centre, 620 North Lake Rd ",-32.106993,115.827328
South Mackay,"Shop 2-3, 135-137 Nebo Rd ",-21.153827,149.166441
South Melbourne,203 Clarendon St South ,-37.830506,144.959641
Southport,"Shop 5, 201 Ferry Rd ",-27.989803,153.412031
Spearwood,"Shop 4, 252 Rockingham Rd ",-32.097004,115.783108
Springvale,"Shop 1, 23 Springvale Rd ",-37.935047,145.155937
Springwood,"Shop 7A, 1 Achilles Dr ",-27.6332,153.141
St Andrews Restaurant,1 Swettenham Rd ,-34.0276,150.833
St Kilda,"Shop 3, 73 Fitzroy St ",-37.8611426,144.9755275
St Marys,"Shop 4, 9-11 Gallipoli St ",-33.781022,150.769624
Stanmore,106-110 Parramatta Rd ,-33.8879,151.169
Stanthorpe,51 Maryland St ,-28.657979,151.934004
Stretton,"Shop 4, 82 Cnr Compton Rd And Condamine St ",-27.611078,153.067263
Sunshine West,"Shop 3, 1-5 The Ave ",-37.795996,144.789993
Surry Hills,"Shop 1-2, 450 Elizabeth St ",-33.887424,151.208498
Sutherland,"Shop 2,  818-820 Old Princes Hwy ",-34.033019,151.056798
Swan View,"Shop 4, 297 Morrison Rd ",-31.88562,116.039562
Taigum,"Shop 56 Taigum Shopping Centre, 215 Beams Rd ",-27.3512,153.046
Tamworth,"Shop 1, 235 Peel St ",-31.088502,150.92738
Tarneit,"Shop 3, 409-413 Derrimut Rd ",-37.847407,144.688152
Tewantin,"Shop 12, 10 Memorial Ave ",-26.392445,153.039255
The Lakes,"Shop 3, 196A Woolcock St ",-19.271159,146.784196
The Pines,"The Pines Shopping Centre, KP McGrath Dr ",-28.134811,153.470013
Thornlie,"Unit 3, 320-330 Spencer Rd ",-32.0568,115.962
Toowoomba Dine In,871 Ruthven St ,-27.5931,151.948
Top Ryde,"Shop 4, 43 Blaxland Rd ",-33.814312,151.107095
Tuart Hill,207 Wanneroo Rd ,-31.8898,115.838
Tumut,35 Wynard St ,-35.300596,148.224642
Turramurra,1255 Pacific Hwy ,-33.733039,151.13052
Tweed Heads,"Shop 4a, 112-114 Minjungbal Dr ",-28.20828,153.54508
Umina,280 West St ,-33.521749,151.320095
Upper Coomera,Shop E1A Coomera Square Shopping Centre 2 City Centre Dr,-27.852215,153.30001
Upper Mt Gravatt,"Shop 1, 1888 Logan Rd ",-27.5548,153.08
Victoria Park,"Shop 1, 800 Albany Hwy ",-31.9835,115.903
Wagga Wagga,19 Baylis St ,-35.118252,147.369114
Wanneroo,"Shop 6, 981 Wanneroo Rd ",-31.75034,115.801939
Warnbro,"Shop T62 Warnbro Centre, 206 Warnbro Sound Ave ",-32.346522,115.761147
Warner,"Shop3, 341 Samsonvale Rd ",-27.292938,152.951835
Warrawong,"Shop 4, 32-40 King St ",-34.483285,150.886989
Warwick,40 Albion St ,-28.214273,152.03577
Waterford West,"Shop 29 Waterford West Shopping Plaza, 917 Kingston Rd ",-27.692079,153.13514
Waterloo,7 Archibald Ave ,-33.901571,151.209752
Welland,"Shop 24 Welland Shopping Centre, 522 Port Rd ",-34.8958,138.557
Wentworthville,41 Station St ,-33.8084001,150.9718741
Werribee,9 Station Pl ,-37.9005,144.662
West Hoxton Park,Cnr Cowpasture & Fifteenth Ave ,-33.92286,150.848641
West Pennant Hills,Cnr Castle Hills Rd & Pennant Hills Rd ,-33.748,151.05
Whyalla,"Shop 63 Westland Shopping Centre, McDouall Stuart Ave ",-33.026909,137.531067
Willoughby,511 Willoughby Rd ,-33.8073,151.199
Willows Dine In,"The Willows Shopping Centre, Hervey Range Rd ",-19.3172,146.728
Wilsonton,407 Bridge St ,-27.543806,151.924151
Windsor Dine In,69 Macquarie St ,-33.608336,150.819618
Woodridge,295-299 Kingston Rd ,-27.6416,153.118
Woodvale,"Shop 18A, 923 Whitfords Ave ",-31.8002,115.793
Woolloongabba,"Shop 2, 80 Ipswich Rd ",-27.490958,153.035495
Wynnum,106 Tingal Rd ,-27.4457,153.171
Wyoming,"Shop 5 Citygate Centre, 451 Pacific Hwy ",-33.4112,151.346
Wyong,300 Pacific Hwy ,-33.268713,151.436889
Yamanto,"Shop 22 Winston Glades Shopping Centre, 259 Ash St ",-27.6533,152.763928
Yamba,"Yamba Shopping Centre, Yamba Rd ",-29.428837,153.326972
